loss,test_loss,acc1,test_acc1,acc2,test_acc2,acc3,test_acc3
2.47652211,2.71845537,1.0000,1.0000,0.6985,0.6191,0.8935,0.8710
2.47547401,2.72075574,1.0000,1.0000,0.7006,0.6254,0.8931,0.8706
2.47657450,2.71487962,1.0000,1.0000,0.6999,0.6222,0.8918,0.8722
2.47443458,2.73391634,1.0000,1.0000,0.6948,0.6139,0.8923,0.8691
2.47198058,2.71698976,1.0000,1.0000,0.7000,0.6191,0.8935,0.8742
2.46896694,2.71528623,1.0000,1.0000,0.6970,0.6108,0.8956,0.8726
2.46846031,2.70464484,1.0000,1.0000,0.6997,0.6254,0.8966,0.8774
2.46398374,2.71493141,1.0000,1.0000,0.7042,0.6167,0.8962,0.8750
2.46224580,2.71082838,1.0000,1.0000,0.7002,0.6131,0.8960,0.8742
2.46375486,2.71391360,1.0000,1.0000,0.7004,0.6258,0.8947,0.8754
2.46037295,2.70251428,1.0000,1.0000,0.7029,0.6214,0.8968,0.8758
2.46376731,2.72461454,1.0000,1.0000,0.7039,0.6175,0.8947,0.8762
2.45870591,2.71500675,1.0000,1.0000,0.7019,0.6262,0.8970,0.8746
2.45807419,2.70620097,1.0000,1.0000,0.7028,0.6294,0.8966,0.8778
2.45848747,2.70894390,1.0000,1.0000,0.7031,0.6234,0.8957,0.8754
2.45191441,2.70629189,1.0000,1.0000,0.7036,0.6305,0.8995,0.8758
2.44817553,2.70729661,1.0000,1.0000,0.7058,0.6187,0.8991,0.8750
2.44337074,2.70361808,1.0000,1.0000,0.7096,0.6222,0.8979,0.8671
2.45331044,2.70704770,1.0000,1.0000,0.7069,0.6333,0.8960,0.8750
2.44754837,2.69485993,1.0000,1.0000,0.7028,0.6309,0.8987,0.8726
2.44323618,2.69657267,1.0000,1.0000,0.7081,0.6365,0.9003,0.8754
2.44074396,2.69925276,1.0000,1.0000,0.7110,0.6238,0.8994,0.8766
2.43859168,2.69723792,1.0000,1.0000,0.7091,0.6266,0.8986,0.8730
2.43914433,2.70513664,1.0000,1.0000,0.7059,0.6325,0.8977,0.8683
2.43641322,2.69743085,1.0000,1.0000,0.7139,0.6337,0.8996,0.8722
2.43590738,2.70008116,1.0000,1.0000,0.7090,0.6246,0.8983,0.8746
2.43286643,2.70457782,1.0000,1.0000,0.7141,0.6274,0.9016,0.8718
2.43126388,2.68561021,1.0000,1.0000,0.7139,0.6313,0.9016,0.8801
2.42970354,2.69275665,1.0000,1.0000,0.7095,0.6222,0.9011,0.8778
2.42688488,2.69513920,1.0000,1.0000,0.7108,0.6218,0.9016,0.8738
2.42768483,2.68771643,1.0000,1.0000,0.7110,0.6341,0.9013,0.8778
2.42277330,2.68967390,1.0000,1.0000,0.7144,0.6301,0.9013,0.8805
2.42324101,2.68376581,1.0000,1.0000,0.7145,0.6337,0.9009,0.8774
2.42461249,2.68921444,1.0000,1.0000,0.7140,0.6317,0.9007,0.8754
2.42358417,2.68887946,1.0000,1.0000,0.7177,0.6349,0.9007,0.8801
2.42125952,2.68994996,1.0000,1.0000,0.7147,0.6333,0.9026,0.8762
2.41944997,2.70263439,1.0000,1.0000,0.7170,0.6305,0.9009,0.8718
2.42469550,2.67801579,1.0000,1.0000,0.7149,0.6349,0.8998,0.8797
2.41702393,2.68032037,1.0000,1.0000,0.7184,0.6333,0.9031,0.8770
2.41566668,2.68147537,1.0000,1.0000,0.7183,0.6242,0.9029,0.8762
2.41285874,2.68437452,1.0000,1.0000,0.7156,0.6309,0.9029,0.8790
2.41117086,2.68730050,1.0000,1.0000,0.7163,0.6301,0.9035,0.8805
2.41575373,2.67992971,1.0000,1.0000,0.7182,0.6333,0.9003,0.8797
2.41019860,2.67814149,1.0000,1.0000,0.7202,0.6377,0.9012,0.8778
2.40777009,2.67619559,1.0000,1.0000,0.7208,0.6329,0.9044,0.8750
2.40704721,2.67318858,1.0000,1.0000,0.7212,0.6381,0.9053,0.8766
2.40345497,2.67663990,1.0000,1.0000,0.7221,0.6309,0.9041,0.8809
2.40910383,2.68265790,1.0000,1.0000,0.7200,0.6274,0.9049,0.8794
2.40351847,2.67874363,1.0000,1.0000,0.7217,0.6400,0.9039,0.8821
2.40229878,2.67450828,1.0000,1.0000,0.7205,0.6297,0.9051,0.8790
2.40317692,2.67875748,1.0000,1.0000,0.7201,0.6388,0.9048,0.8742
2.40049044,2.67085303,1.0000,1.0000,0.7233,0.6369,0.9034,0.8790
2.40092946,2.67119850,1.0000,1.0000,0.7242,0.6396,0.9051,0.8786
2.40221508,2.67367827,1.0000,1.0000,0.7214,0.6329,0.9038,0.8794
2.40181444,2.67209848,1.0000,1.0000,0.7218,0.6365,0.9062,0.8746
2.39468720,2.67420496,1.0000,1.0000,0.7251,0.6345,0.9051,0.8801
2.39183215,2.67421799,1.0000,1.0000,0.7270,0.6349,0.9054,0.8782
2.39264200,2.67260032,1.0000,1.0000,0.7274,0.6377,0.9064,0.8782
2.39397372,2.67074598,1.0000,1.0000,0.7249,0.6424,0.9053,0.8758
2.39186528,2.67459793,1.0000,1.0000,0.7231,0.6329,0.9066,0.8770
2.39245448,2.66854318,1.0000,1.0000,0.7265,0.6388,0.9050,0.8770
2.39235729,2.68232536,1.0000,1.0000,0.7279,0.6388,0.9065,0.8706
2.39450845,2.66751689,1.0000,1.0000,0.7234,0.6448,0.9056,0.8766
2.38962866,2.66703235,1.0000,1.0000,0.7249,0.6400,0.9060,0.8778
